Country,City,State,Postal Code,Region,DATE_VALID_STD,DOY_STD,MIN_TEMPERATURE_AIR_2M_F,AVG_TEMPERATURE_AIR_2M_F,MAX_TEMPERATURE_AIR_2M_F,MIN_TEMPERATURE_WETBULB_2M_F,AVG_TEMPERATURE_WETBULB_2M_F,MAX_TEMPERATURE_WETBULB_2M_F,MIN_TEMPERATURE_DEWPOINT_2M_F,AVG_TEMPERATURE_DEWPOINT_2M_F,MAX_TEMPERATURE_DEWPOINT_2M_F,MIN_TEMPERATURE_FEELSLIKE_2M_F,AVG_TEMPERATURE_FEELSLIKE_2M_F,MAX_TEMPERATURE_FEELSLIKE_2M_F,MIN_TEMPERATURE_WINDCHILL_2M_F,AVG_TEMPERATURE_WINDCHILL_2M_F,MAX_TEMPERATURE_WINDCHILL_2M_F,MIN_TEMPERATURE_HEATINDEX_2M_F,AVG_TEMPERATURE_HEATINDEX_2M_F,MAX_TEMPERATURE_HEATINDEX_2M_F,MIN_HUMIDITY_RELATIVE_2M_PCT,AVG_HUMIDITY_RELATIVE_2M_PCT,MAX_HUMIDITY_RELATIVE_2M_PCT,MIN_HUMIDITY_SPECIFIC_2M_GPKG,AVG_HUMIDITY_SPECIFIC_2M_GPKG,MAX_HUMIDITY_SPECIFIC_2M_GPKG,MIN_PRESSURE_2M_MB,AVG_PRESSURE_2M_MB,MAX_PRESSURE_2M_MB,MIN_PRESSURE_TENDENCY_2M_MB,AVG_PRESSURE_TENDENCY_2M_MB,MAX_PRESSURE_TENDENCY_2M_MB,MIN_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_PRESSURE_MEAN_SEA_LEVEL_MB,MAX_PRESSURE_MEAN_SEA_LEVEL_MB,MIN_WIND_SPEED_10M_MPH,AVG_WIND_SPEED_10M_MPH,MAX_WIND_SPEED_10M_MPH,AVG_WIND_DIRECTION_10M_DEG,MIN_WIND_SPEED_80M_MPH,AVG_WIND_SPEED_80M_MPH,MAX_WIND_SPEED_80M_MPH,AVG_WIND_DIRECTION_80M_DEG,MIN_WIND_SPEED_100M_MPH,AVG_WIND_SPEED_100M_MPH,MAX_WIND_SPEED_100M_MPH,AVG_WIND_DIRECTION_100M_DEG,TOT_PRECIPITATION_IN,TOT_SNOWFALL_IN,TOT_SNOWDEPTH_IN,MIN_CLOUD_COVER_TOT_PCT,AVG_CLOUD_COVER_TOT_PCT,MAX_CLOUD_COVER_TOT_PCT,MIN_RADIATION_SOLAR_TOTAL_WPM2,AVG_RADIATION_SOLAR_TOTAL_WPM2,MAX_RADIATION_SOLAR_TOTAL_WPM2,TOT_RADIATION_SOLAR_TOTAL_WPM2
United States,Fort Worth,Texas,76106,Central,18-05-2022,138,51.1,57.5,65.4,47.1,50.9,54.9,43,44.5,47,49.4,56.4,65.4,49.4,56.4,65.4,51.1,57.5,65.4,46,63,77,5.8,6.2,6.8,1015.24,1016.55,1019.15,-0.9,0.1,1.2,1018.22,1019.6,1022.5,5.4,7.8,9.7,259,8.2,12.3,15.5,256,8.8,13.3,16.8,255,0,0,0,0,1,3,0,155,593.1,3719.2
United States,Madison,Wisconsin,53711,Central,05-01-2022,5,69.3,71.9,75.5,66.6,69.6,72.1,65.2,68.5,70.7,69.3,72.3,79.3,69.3,71.9,75.5,69.3,72.3,79.3,84,89,95,13.2,14.9,16,1007.31,1008.43,1009.51,-0.7,0,0.7,1010.59,1011.72,1012.79,4.8,6.3,7.9,113,8,10.4,12.6,109,8.5,10.9,13.1,109,1.05,0,0,5,54,100,0,238.9,1016.5,5732.8
United States,West Jordan,Utah,84084,West,07-02-2022,38,64,67.3,72.4,62.3,63.4,65,59.1,61.1,63.1,64,67.3,72.4,64,67.3,72.4,64,67.3,72.4,63,81,92,10.6,11.3,12.2,1015.85,1017.66,1019.33,-0.8,-0.2,0.5,1019.17,1020.95,1022.66,5.8,9.1,11.5,167,9.2,13.8,15.7,166,10,14.8,16.7,165,0.23,0,0,20,58,99,0,242.2,949.1,5813
United States,San Francisco,California,94109,West,30-05-2022,150,47.9,52,55.8,45.4,49,53,41.9,46.2,51.1,45.4,49.3,53.5,45.4,49.3,53.5,47.9,52,55.8,73,81,92,5.6,6.8,8.1,986.1,993.82,1002.08,-2.2,-0.6,1,989.67,996.85,1005.3,4.3,9,14.5,324,6.9,14.7,23.6,317,7.5,15.9,25.5,316,0.11,0,0,0,58,100,0,51,294.2,1223.1
United States,San Francisco,California,94109,West,09-06-2022,160,47.3,51.9,57.9,42.9,45.8,48.9,36.8,38.4,40.9,43.1,48.6,55.6,43.1,48.6,55.6,47.3,51.9,57.9,46,61,70,4.6,4.9,5.4,1009.44,1011.2,1012.45,-0.9,-0.1,0.9,1012.83,1014.4,1015.73,8.6,10,11.9,265,15.2,17.2,20.1,261,16.6,18.4,21.1,261,0,0,0,0,1,4,0,135.4,537.5,3249.8
United States,San Francisco,California,94109,West,04-06-2022,155,49.4,53.9,60.8,46.3,48.8,51.7,41,43.5,47.4,45.4,51.6,60.8,45.4,51.6,60.8,49.4,53.9,60.8,50,69,90,5.4,6,6.9,1006.83,1008.7,1011.15,-0.6,0.2,0.8,1009.67,1011.82,1014.08,5.8,8.7,10.8,280,10,14.3,18.1,276,10.6,15,19.1,275,0,0,0,1,17,100,0,137.4,540.4,3297.8
United States,Fremont,Nebraska,68025,Central,08-06-2022,159,46.7,51.1,57.7,42.4,45,48.4,35.2,37.2,38.8,42.3,47.5,55.9,42.3,47.5,55.9,46.7,51.1,57.7,43,60,69,4.3,4.7,5,1010.1,1011.93,1014.25,-0.8,0.1,1.2,1013.04,1015.11,1017.32,8.6,10.3,12.2,259,14,17,19.7,256,14.8,18.2,21.1,255,0,0,0,0,1,5,0,137.6,544.2,3302.6
United States,Fremont,Nebraska,68025,Central,12-06-2022,163,48.9,54.2,60.1,43.2,47.6,51.2,35.2,40.1,44,45,51.3,59.5,45,51.3,59.5,48.9,54.2,60.1,48,59,68,4.3,5.3,6.1,1008.11,1010.67,1014.48,-1.1,0.2,0.9,1011.65,1013.96,1017.63,9.1,11.2,13.2,258,14.6,19.2,21.7,256,15.8,20.3,22.6,256,0,0,0,1,8,56,0,132.3,525.1,3176.8
United States,Philadelphia,Pennsylvania,19140,East,18-06-2022,169,56.6,58.7,61.4,52.8,54.7,56.6,49.4,51.4,53.2,54.3,57.6,61.4,54.3,57.6,61.4,56.6,58.7,61.4,71,77,86,7.4,8,8.5,1018.9,1021.07,1023.25,-0.6,0.2,0.5,1022.1,1024.17,1026.51,7.2,10.4,12,205,10.9,15,17,202,11.7,15.9,18.1,201,0.26,0,0,8,72,100,0,31.7,136.8,760.9
United States,Orem,Utah,84057,West,25-06-2022,176,51.5,58.1,67.5,48.3,51.4,55.9,43.9,44.9,46,49.9,57.3,67.5,49.9,57.3,67.5,51.5,58.1,67.5,43,63,80,6,6.3,6.5,1015.49,1017.69,1019.9,-1.1,0.2,0.7,1018.73,1020.91,1023.12,4.4,5.8,7.7,277,7,9.4,12.5,275,7.4,10.1,13.6,274,0,0,0,0,0,2,0,129,515,3095.7
United States,Los Angeles,California,90049,West,23-07-2022,204,48.3,54.8,60.4,47.4,52.5,56.7,45.9,50.6,54.3,48.1,54.7,60.4,48.1,54.7,60.4,48.3,54.8,60.4,75,87,96,6.5,7.7,8.9,1019.1,1020.96,1022.95,-0.9,-0.1,0.8,1022.37,1024.12,1025.91,0.4,3,5.8,157,1.3,4.6,8.5,144,1.4,5,9.2,142,0.03,0,0,3,44,97,0,82,378.6,1968.4
United States,Los Angeles,California,90049,West,09-07-2022,190,49.8,53.7,59.1,46.5,49.2,52.3,42.4,44.7,47.6,45.9,51,58.3,45.9,51,58.3,49.8,53.7,59.1,58,72,80,5.7,6.2,6.9,1010.61,1013.86,1016.9,-0.6,0.3,0.9,1013.88,1017.02,1020.37,6.4,9.3,11,239,10.5,14.6,18.7,235,11.2,15.6,19.7,235,0.05,0,0,0,18,84,0,130.1,533.4,3121.2
United States,Philadelphia,Pennsylvania,19140,East,18-07-2022,199,49.5,54.2,57.8,44.6,47.9,51.3,36.5,40.7,45.9,46.4,52.1,56.2,46.4,52.1,56.2,49.5,54.2,57.8,46,61,73,4.5,5.4,6.5,1009.49,1014.12,1019.92,-0.4,0.4,1.1,1012.3,1017.23,1023.39,6.5,8,10.2,259,10.3,12.6,16.2,258,11.2,13.4,17,257,0.01,0,0,0,16,100,0,138.6,574,3325.6
United States,Philadelphia,Pennsylvania,19140,East,22-07-2022,203,53.1,57.4,59.7,51.3,54.7,57.3,49.8,52.7,55.8,52.8,56.5,58.6,52.8,56.5,58.6,53.1,57.4,59.7,78,84,95,7.4,8.3,9.3,1022.79,1025.22,1028,-0.9,-0.2,0.9,1025.85,1028.36,1031.06,3,8.1,11.3,105,4.9,12.2,16.4,103,5.3,13,17.5,103,0.23,0,0,19,79,100,0,58.9,312.3,1413.9
United States,Philadelphia,Pennsylvania,19140,East,29-07-2022,210,51.6,54.5,58.9,46.6,48.7,50.2,38.3,42.2,46.3,48.3,52,57.3,48.3,52,57.3,51.6,54.5,58.9,46,64,80,4.8,5.7,6.6,1018.13,1020.25,1023.6,-0.5,0.2,1.1,1021.24,1023.44,1026.79,6.4,9.4,11.3,211,10.2,13.9,16.4,210,11.1,14.9,17.5,209,0.01,0,0,0,15,74,0,157,601.7,3768
United States,Philadelphia,Pennsylvania,19140,East,30-07-2022,211,47.4,52.6,60.9,44.4,47.6,52.1,39.6,42.2,45.7,44.5,51,60.9,44.5,51,60.9,47.4,52.6,60.9,50,68,88,5.1,5.6,6.4,1022.2,1023.63,1025.46,-0.9,0,0.6,1025.4,1026.8,1028.55,0.5,5.3,9.1,247,0.6,7.9,13.6,240,0.6,8.5,14.5,238,0,0,0,0,3,9,0,158.3,600.7,3800.2
United States,Philadelphia,Pennsylvania,19140,East,26-08-2022,238,53.4,56.1,59.4,51,53,54.7,48.9,50.4,51.6,50.9,54.3,58.1,50.9,54.3,58.1,53.4,56.1,59.4,72,82,91,7.2,7.6,8,1021.91,1023.68,1025.82,-0.4,0.2,0.7,1025.06,1026.78,1029.08,5.3,8.3,10.3,205,8.5,12.1,14.4,201,9.1,12.9,15.2,200,0.13,0,0,2,58,100,0,61.1,234.4,1465.6
United States,Philadelphia,Pennsylvania,19140,East,11-08-2022,223,50.8,56.8,62.2,49.5,52.6,55.1,47.6,49.1,51.4,49.2,56.1,62.2,49.2,56.1,62.2,50.8,56.8,62.2,62,76,93,6.9,7.3,7.9,1015.76,1018.97,1022.41,-1.6,-0.3,0.5,1019.12,1022.13,1025.56,3.1,6.5,9.2,359,5,10,14,360,5.4,10.8,15.2,360,0,0,0,39,81,100,0,147,626.9,3529.1
United States,Philadelphia,Pennsylvania,19140,East,20-09-2022,263,47.3,59.2,66.7,46.4,53.2,57.5,42.8,48,52.6,45.5,58.8,66.7,45.5,58.8,66.7,47.3,59.2,66.7,53,67,95,5.8,7.1,8.4,1016.51,1018.14,1020.16,-1.1,0,0.9,1019.2,1021.17,1022.97,1,7,11.1,34,1.6,10.3,17.1,35,1.5,11,18.4,35,0,0,0,0,33,98,0,230.9,792.8,5541.9
United States,Houston,Texas,77095,Central,28-08-2022,240,46.8,58.1,66,46.2,54.1,57.7,45.5,51,55.7,46.8,58,66,46.8,58,66,46.8,58.1,66,54,79,96,6.4,7.9,9.3,1023.14,1024.37,1026.1,-0.9,-0.1,0.7,1026.1,1027.49,1028.97,1.3,5,8.6,29,1.5,7.4,12.6,29,1.5,7.9,13.5,30,0.01,0,0,0,14,70,0,206.5,728.3,4955
United States,Richardson,Texas,75080,Central,09-10-2022,282,51,54.6,58.5,49.9,51.9,54.9,46.3,49.6,54,46.4,52,58.3,46.4,52,58.3,51,54.6,58.5,66,84,96,6.6,7.5,8.8,1009.95,1016.87,1021.69,-0.9,0.5,1.5,1012.14,1019.72,1024.84,4,10.4,18.6,201,6.1,15.9,31.1,196,6.5,17,32.3,196,0.3,0,0,56,94,100,0,72.5,391.5,1739
United States,Richardson,Texas,75080,Central,08-10-2022,281,55.8,63.8,77.6,54.9,61.2,66.2,54.2,59.7,63.4,51.2,63.2,78.3,51.2,63.1,77.6,55.8,63.9,78.3,54,88,99,8.9,10.9,12.4,1009.44,1010.73,1011.94,-1.4,0,1.2,1012.52,1013.71,1014.96,1.1,7.2,21.4,197,1.3,11.3,34,196,1.4,12,35.4,198,1.21,0,0,7,77,100,0,195.9,918.9,4701.2
United States,Houston,Texas,77041,Central,07-10-2022,280,58.1,64,72.6,57.5,61,64.3,57,59.2,61.7,57.9,63.9,72.6,57.9,63.9,72.6,58.1,64,72.6,63,86,98,9.8,10.7,11.6,1010.13,1012.57,1015.8,-1.3,-0.3,0.8,1013.41,1015.74,1018.97,3.9,7.4,9.9,9,6.6,12.4,18.1,8,7.2,13.3,19.2,8,0.18,0,0,11,67,100,0,226.8,820.7,5443.6
United States,Houston,Texas,77041,Central,11-11-2022,315,58.1,67.4,77.2,56.5,60.6,63.4,52.7,55.8,60.4,58.1,67.5,77.4,58.1,67.4,77.2,58.1,67.5,77.4,43,69,96,8.5,9.5,11.1,1007.25,1009.83,1012.53,-1.6,-0.2,0.6,1010.91,1013.31,1015.58,3.9,6.4,8.4,17,6.8,9.9,12.5,12,6.9,10.4,13.5,11,0,0,0,4,77,100,0,286.6,969.5,6879.1
United States,Houston,Texas,77041,Central,22-02-2022,53,66.7,70.8,74.5,66,69.1,72,65.5,68.3,70.9,66.7,71,75.3,66.7,70.8,74.5,66.7,71,75.3,87,92,97,13.3,14.7,16,1011.17,1013.67,1015.48,-0.5,0.2,1.2,1014.35,1017.05,1018.67,1.4,5.1,8.3,127,2,8,12.4,122,2.1,8.6,13.2,122,1.06,0,0,59,85,100,0,291.6,936,6999.1
United States,Houston,Texas,77041,Central,03-01-2022,3,64.2,73.8,79.5,63.2,66.8,68.4,61.5,63.1,64.8,64.2,74.6,81.1,64.2,73.8,79.5,64.2,74.6,81.1,55,71,95,11.8,12.4,13.1,1006.37,1007.03,1008.36,-0.4,0.1,0.5,1009.2,1010.2,1011.83,1.4,5.8,9.7,115,2.9,8.7,13.3,112,3.2,9.1,13.6,112,0,0,0,0,1,5,0,375.7,1066.5,9016.3
United States,Naperville,Illinois,60540,Central,29-12-2021,363,59,66.4,72.9,57.1,60.3,63.1,53.6,56.3,59,59,66.4,72.9,59,66.4,72.9,59,66.4,72.9,52,71,95,8.7,9.6,10.5,1013.13,1014.68,1015.77,-0.6,0,0.4,1016.25,1017.99,1019.08,2.4,6.2,9,146,3.9,8.7,11.5,142,4.3,9.2,12.1,141,0,0,0,0,22,99,0,380.8,1080,9137.7
United States,Los Angeles,California,90049,West,02-03-2022,61,67.7,68.7,70.9,66.4,67.3,68.9,65.7,66.6,68.2,67.7,68.7,70.9,67.7,68.7,70.9,67.7,68.7,70.9,90,93,95,13.5,13.9,14.7,1006.3,1007.34,1008.28,-0.6,-0.1,0.6,1009.31,1010.49,1011.51,10,11.8,13.8,112,16.8,19.9,23,111,17.3,20.7,23.9,110,2.06,0,0,68,95,100,0,70.7,523.1,1696.8
United States,Melbourne,Florida,32935,South,31-12-2021,365,63.5,72.3,80.4,60.3,64.4,67.5,57.6,59.7,62.7,63.5,72.7,81.2,63.5,72.3,80.4,63.5,72.7,81.2,48,66,84,10.2,11,12.1,1009.85,1011.4,1013.05,-0.7,-0.1,0.6,1012.63,1014.4,1016.13,4.9,8.5,12.7,33,8.2,13.2,18.7,29,8.9,14,19.4,29,0,0,0,0,0,2,0,388.5,1096.7,9325.1
United States,Eagan,Minnesota,55122,Central,26-03-2022,85,62.4,66.2,70.9,61.2,64.1,67.6,60.5,62.9,66,62.4,66.2,70.9,62.4,66.2,70.9,62.4,66.2,70.9,83,89,95,11.1,12.1,13.5,1016.85,1017.66,1018.75,-0.6,0,0.6,1020.05,1020.94,1022.29,2.9,4.9,6.7,133,4.9,7.8,9.7,128,5.3,8.4,10.4,127,0.87,0,0,23,80,100,0,183.3,607.5,4398.2
United States,Eagan,Minnesota,55122,Central,21-03-2022,80,60.7,67.7,73.5,59.6,62.8,64.7,58.8,59.9,60.7,60.7,67.7,73.5,60.7,67.7,73.5,60.7,67.7,73.5,61,77,96,10.5,11,11.2,1011.25,1012.79,1014.11,-1,-0.1,0.4,1014.28,1015.93,1017.21,1.4,5.8,7.6,181,1.8,8.5,12,179,2,9.1,12.9,179,0,0,0,1,44,97,0,194.6,777.7,4671.3
United States,Westland,Michigan,48185,Central,28-12-2021,362,61.3,64.6,70.1,57.6,58.9,60.8,53.1,54.9,57.7,60.8,64.6,70.1,60.8,64.6,70.1,61.3,64.6,70.1,57,71,87,8.6,9.1,10.1,1014.71,1015.7,1017.03,-0.8,0,0.8,1017.86,1018.98,1020.15,6.7,10.1,12.5,170,10.3,15.2,18.7,168,11.1,16.2,20.2,168,0.05,0,0,9,69,100,0,212.7,1020.1,5103.5
United States,Dover,Delaware,19901,East,11-03-2022,70,59.2,66.2,71.8,57.9,60.7,63.7,55.1,57.1,59.5,59.2,66.2,71.8,59.2,66.2,71.8,59.2,66.2,71.8,57,74,95,9.2,9.9,10.7,1014.91,1016.27,1018.05,-0.6,0.1,0.6,1018.13,1019.47,1021.58,2.2,6.3,8.5,165,4.1,9.1,12.6,163,4.5,9.7,13.6,162,0,0,0,0,2,5,0,289.4,929,6944.4
United States,Dover,Delaware,19901,East,28-04-2022,118,61.8,66.2,70,61.3,64.2,66.6,61,63.2,66.2,61.8,66.2,70,61.8,66.2,70,61.8,66.2,70,80,90,98,11.3,12.2,13.5,1014.8,1015.81,1016.7,-0.7,0.1,0.6,1017.91,1018.97,1019.93,3.1,6.2,9.7,358,4.6,9.7,14.7,360,5,10.4,15.8,360,0,0,0,36,91,100,0,53.2,220.2,1276.8
United States,New Albany,Indiana,47150,Central,12-04-2022,102,63.2,65.2,68.9,60.8,62.4,63.8,59.3,60.8,62.7,63.2,65.2,68.9,63.2,65.2,68.9,63.2,65.2,68.9,74,86,91,10.6,11.2,12,1015.65,1016.82,1018.16,-1.1,0.1,0.5,1018.58,1019.8,1021.16,5,7.6,9.4,182,8,11.4,13.8,178,8.7,12.3,14.8,177,0.11,0,0,21,69,100,0,139,733.5,3335.9
